,Team,Country,Rank,G,W,D,L,GF,GA,GD,Pts,AvgPts,Season
89, Rayo Vallecano,es ESP,20,38,8,8,22,41,70,-29,32,0.84,2018-2019
90, Stuttgart,de GER,16,34,7,7,20,32,70,-38,28,0.82,2018-2019
91, Guingamp,fr FRA,20,38,5,12,21,28,68,-40,27,0.71,2018-2019
92, Fulham,eng ENG,19,38,7,5,26,34,81,-47,26,0.68,2018-2019
93, Frosinone,it ITA,19,38,5,10,23,29,69,-40,25,0.66,2018-2019
94, Hannover 96,de GER,17,34,5,6,23,31,71,-40,21,0.62,2018-2019
95, Nürnberg,de GER,18,34,3,10,21,26,68,-42,19,0.56,2018-2019
96, Chievo,it ITA,20,38,2,14,22,25,75,-50,17,0.45,2018-2019
97, Huddersfield,eng ENG,20,38,3,7,28,22,76,-54,16,0.42,2018-2019
0, Liverpool,eng ENG,1,33,29,2,2,72,25,+47,89,2.70,2019-2020
1, Paris S-G,fr FRA,1,27,22,2,3,75,24,+51,68,2.52,2019-2020
2, Juventus,it ITA,1,30,24,3,3,63,26,+37,75,2.50,2019-2020
3, Bayern Munich,de GER,1,34,26,4,4,100,32,+68,82,2.41,2019-2020
4, Lazio,it ITA,2,30,21,5,4,66,31,+35,68,2.27,2019-2020
5, Real Madrid,es ESP,1,34,23,8,3,62,21,+41,77,2.26,2019-2020
6, Barcelona,es ESP,2,34,22,7,5,78,36,+42,73,2.15,2019-2020
7, Inter,it ITA,3,30,19,7,4,63,31,+32,64,2.13,2019-2020
8, Atalanta,it ITA,4,30,19,6,5,83,39,+44,63,2.10,2019-2020
9, Dortmund,de GER,2,34,21,6,7,84,41,+43,69,2.03,2019-2020
10, Manchester City,eng ENG,2,33,21,3,9,81,34,+47,66,2.00,2019-2020
11, Marseille,fr FRA,2,28,16,8,4,41,29,+12,56,2.00,2019-2020
12, RB Leipzig,de GER,3,34,18,12,4,81,37,+44,66,1.94,2019-2020
13, M'gladbach,de GER,4,34,20,5,9,66,40,+26,65,1.91,2019-2020
14, Leverkusen,de GER,5,34,19,6,9,61,44,+17,63,1.85,2019-2020
15, Atlético Madrid,es ESP,3,34,16,14,4,46,25,+21,62,1.82,2019-2020
16, Rennes,fr FRA,3,28,15,5,8,38,24,+14,50,1.79,2019-2020
17, Leicester City,eng ENG,3,33,17,7,9,63,31,+32,58,1.76,2019-2020
18, Sevilla,es ESP,4,34,16,12,6,49,33,+16,60,1.76,2019-2020
19, Lille,fr FRA,4,28,15,4,9,35,27,+8,49,1.75,2019-2020
20, Chelsea,eng ENG,4,33,17,6,10,60,44,+16,57,1.73,2019-2020
21, Manchester Utd,eng ENG,5,33,15,10,8,56,33,+23,55,1.67,2019-2020
22, Roma,it ITA,5,30,14,6,10,54,42,+12,48,1.60,2019-2020
23, Napoli,it ITA,6,30,14,6,10,48,40,+8,48,1.60,2019-2020
24, Villarreal,es ESP,5,34,16,6,12,54,44,+10,54,1.59,2019-2020
25, Wolves,eng ENG,6,33,13,13,7,45,36,+9,52,1.58,2019-2020
26, Getafe,es ESP,6,34,14,11,9,42,31,+11,53,1.56,2019-2020
27, Hoffenheim,de GER,6,34,15,7,12,53,53,0,52,1.53,2019-2020
28, Milan,it ITA,7,30,13,7,10,39,37,+2,46,1.53,2019-2020
29, Real Sociedad,es ESP,7,34,15,6,13,51,43,+8,51,1.50,2019-2020
30, Arsenal,eng ENG,7,33,12,13,8,49,41,+8,49,1.48,2019-2020
31, Reims,fr FRA,5,28,10,11,7,26,21,+5,41,1.46,2019-2020
32, Nice,fr FRA,6,28,11,8,9,41,38,+3,41,1.46,2019-2020
33, Tottenham,eng ENG,8,33,13,9,11,52,44,+8,48,1.45,2019-2020
34, Sheffield Utd,eng ENG,9,33,12,12,9,34,33,+1,48,1.45,2019-2020
35, Wolfsburg,de GER,7,34,13,10,11,48,46,+2,49,1.44,2019-2020
36, Lyon,fr FRA,7,28,11,7,10,42,27,+15,40,1.43,2019-2020
37, Montpellier,fr FRA,8,28,11,7,10,35,34,+1,40,1.43,2019-2020
38, Monaco,fr FRA,9,28,11,7,10,44,44,0,40,1.43,2019-2020
39, Athletic Club,es ESP,8,34,12,12,10,38,29,+9,48,1.41,2019-2020
40, Strasbourg,fr FRA,10,27,11,5,11,32,32,0,38,1.41,2019-2020
41, Freiburg,de GER,8,34,13,9,12,48,47,+1,48,1.41,2019-2020
42, Hellas Verona,it ITA,8,30,11,9,10,37,36,+1,42,1.40,2019-2020
43, Burnley,eng ENG,10,33,13,7,13,37,46,-9,46,1.39,2019-2020
44, Angers,fr FRA,11,28,11,6,11,28,33,-5,39,1.39,2019-2020
45, Granada,es ESP,10,34,13,8,13,42,40,+2,47,1.38,2019-2020
46, Valencia,es ESP,9,34,12,11,11,43,50,-7,47,1.38,2019-2020
47, Bologna,it ITA,9,30,11,8,11,43,47,-4,41,1.37,2019-2020
48, Everton,eng ENG,11,33,12,8,13,40,48,-8,44,1.33,2019-2020
49, Sassuolo,it ITA,10,30,11,7,12,55,52,+3,40,1.33,2019-2020
50, Osasuna,es ESP,11,34,11,12,11,40,47,-7,45,1.32,2019-2020
51, Bordeaux,fr FRA,12,28,9,10,9,40,34,+6,37,1.32,2019-2020
52, Nantes,fr FRA,13,28,11,4,13,28,31,-3,37,1.32,2019-2020
53, Eint Frankfurt,de GER,9,34,13,6,15,59,60,-1,45,1.32,2019-2020
54, Newcastle Utd,eng ENG,12,33,11,10,12,35,45,-10,43,1.30,2019-2020
55, Southampton,eng ENG,13,33,13,4,16,42,55,-13,43,1.30,2019-2020
56, Cagliari,it ITA,11,30,10,9,11,48,46,+2,39,1.30,2019-2020
57, Parma,it ITA,12,30,11,6,13,41,40,+1,39,1.30,2019-2020
58, Crystal Palace,eng ENG,14,33,11,9,13,28,40,-12,42,1.27,2019-2020
59, Levante,es ESP,12,34,12,7,15,42,47,-5,43,1.26,2019-2020
60, Brest,fr FRA,14,28,8,10,10,34,37,-3,34,1.21,2019-2020
61, Metz,fr FRA,15,28,8,10,10,27,35,-8,34,1.21,2019-2020
62, Hertha BSC,de GER,10,34,11,8,15,48,59,-11,41,1.21,2019-2020
63, Union Berlin,de GER,11,34,12,5,17,41,58,-17,41,1.21,2019-2020
64, Valladolid,es ESP,13,34,8,15,11,28,37,-9,39,1.15,2019-2020
65, Schalke 04,de GER,12,34,9,12,13,38,58,-20,39,1.15,2019-2020
66, Fiorentina,it ITA,13,30,8,10,12,37,43,-6,34,1.13,2019-2020
67, Betis,es ESP,14,34,9,11,14,44,55,-11,38,1.12,2019-2020
68, Brighton,eng ENG,15,33,8,12,13,35,44,-9,36,1.09,2019-2020
69, Mainz 05,de GER,13,34,11,4,19,44,65,-21,37,1.09,2019-2020
70, Dijon,fr FRA,16,28,7,9,12,27,37,-10,30,1.07,2019-2020
71, Saint-Étienne,fr FRA,17,28,8,6,14,29,45,-16,30,1.07,2019-2020
72, Sampdoria,it ITA,14,30,9,5,16,36,51,-15,32,1.07,2019-2020
73, Udinese,it ITA,15,30,8,8,14,27,43,-16,32,1.07,2019-2020
74, Köln,de GER,14,34,10,6,18,51,69,-18,36,1.06,2019-2020
75, Augsburg,de GER,15,34,9,9,16,45,63,-18,36,1.06,2019-2020
76, Alavés,es ESP,15,34,9,8,17,32,51,-19,35,1.03,2019-2020
77, Celta Vigo,es ESP,16,34,7,14,13,33,43,-10,35,1.03,2019-2020
78, Eibar,es ESP,17,34,9,8,17,34,51,-17,35,1.03,2019-2020
79, Torino,it ITA,16,30,9,4,17,34,56,-22,31,1.03,2019-2020
80, Nîmes,fr FRA,18,28,7,6,15,29,44,-15,27,0.96,2019-2020
81, West Ham,eng ENG,16,33,8,7,18,40,58,-18,31,0.94,2019-2020
82, Werder Bremen,de GER,16,34,8,7,19,42,69,-27,31,0.91,2019-2020
83, Genoa,it ITA,17,30,6,9,15,37,58,-21,27,0.90,2019-2020
84, Düsseldorf,de GER,17,34,6,12,16,36,67,-31,30,0.88,2019-2020
85, Watford,eng ENG,17,33,6,10,17,29,52,-23,28,0.85,2019-2020
86, Mallorca,es ESP,18,34,8,5,21,35,59,-24,29,0.85,2019-2020
87, Lecce,it ITA,18,30,6,7,17,38,70,-32,25,0.83,2019-2020
88, Aston Villa,eng ENG,18,33,7,6,20,36,62,-26,27,0.82,2019-2020
89, Bournemouth,eng ENG,19,33,7,6,20,32,59,-27,27,0.82,2019-2020
90, Leganés,es ESP,19,34,6,10,18,25,49,-24,28,0.82,2019-2020
91, Amiens,fr FRA,19,28,4,11,13,31,50,-19,23,0.82,2019-2020
92, Espanyol,es ESP,20,34,5,9,20,27,54,-27,24,0.71,2019-2020
93, Brescia,it ITA,19,30,5,6,19,27,58,-31,21,0.70,2019-2020
94, Norwich City,eng ENG,20,33,5,6,22,25,61,-36,21,0.64,2019-2020
95, SPAL,it ITA,20,30,5,4,21,23,53,-30,19,0.63,2019-2020
96, Paderborn 07,de GER,18,34,4,8,22,37,74,-37,20,0.59,2019-2020
97, Toulouse,fr FRA,20,28,3,4,21,22,58,-36,13,0.46,2019-2020
