"","x"
"2140","L"
"2141","L"
"2142","D"
"2143","L"
"2144","D"
"2145","L"
"2146","D"
"2147","D"
"2148","L"
"2149","D"
"2150","D"
"2151","W"
"2152","D"
"2153","L"
"2154","L"
"2155","L"
"2156","L"
"2157","L"
"2158","L"
"2159","L"
"2160","L"
"2161","L"
"2162","L"
"2163","L"
"2164","L"
"2165","L"
"2166","W"
"2167","L"
"2168","L"
"2169","D"
"2170","W"
"2171","W"
"2172","L"
"2173","L"
"2174","L"
"2175","L"
"2176","D"
"2177","L"
"2178","W"
"2179","W"
"2180","W"
"2181","D"
"2182","D"
"2183","W"
"2184","W"
"2185","W"
"2186","W"
"2187","W"
"2188","W"
"2189","W"
"2190","W"
"2191","W"
"2192","W"
"2193","W"
"2194","W"
"2195","W"
"2196","W"
"2197","W"
"2198","L"
"2199","W"
"2200","W"
"2201","W"
"2202","W"
"2203","W"
"2204","W"
"2205","D"
"2206","W"
"2207","W"
"2208","W"
"2209","W"
"2210","W"
"2211","D"
"2212","W"
"2213","W"
"2214","W"
"2215","D"
"2216","W"
"2217","W"
"2218","W"
"2219","W"
"2220","W"
"2221","W"
"2222","W"
"2223","W"
"2224","W"
"2225","W"
"2226","W"
"2227","W"
"2228","W"
"2229","D"
"2230","W"
"2231","W"
"2232","D"
"2233","L"
"2234","W"
"2235","D"
"2236","W"
"2237","W"
"2238","W"
"2239","W"
"2240","W"
"2241","L"
"2242","D"
"2243","D"
"2244","W"
"2245","W"
"2246","D"
"2247","W"
"2248","W"
"2249","W"
"2250","W"
"2251","W"
"2252","W"
"2253","W"
"2254","W"
"2255","W"
"2256","W"
"2257","W"
"2258","D"
"2259","W"
"2260","W"
"2261","W"
"2262","W"
"2263","W"
"2264","W"
"2265","W"
"2266","W"
"2267","D"
"2268","W"
"2269","W"
"2270","W"
"2271","W"
"2272","W"
"2273","W"
"2274","W"
"2275","W"
"2276","W"
"2277","W"
"2278","W"
"2279","D"
"2280","W"
"2281","W"
"2282","W"
"2283","W"
"2284","W"
"2285","W"
"2286","W"
"2287","W"
"2288","W"
"2289","W"
"2290","W"
"2291","L"
"2292","W"
"2293","L"
"2294","W"
"2295","W"
"2296","W"
"2297","W"
"2298","W"
"2299","W"
"2300","D"
"2301","W"
"2302","W"
"2303","W"
"2304","L"
"2305","W"
"2306","W"
"2307","W"
"2308","W"
"2309","W"
"2310","W"
"2311","W"
"2312","W"
"2313","L"
"2314","W"
"2315","W"
"2316","W"
"2317","W"
"2318","W"
"2319","W"
"2320","W"
"2321","W"
"2322","W"
"2323","W"
"2324","L"
"2325","W"
"2326","L"
"2327","D"
"2328","W"
"2329","W"
"2330","W"
"2331","W"
"2332","W"
"2333","W"
"2334","W"
"2335","W"
"2336","W"
"2337","D"
"2338","L"
"2339","W"
"2340","D"
"2341","W"
"2342","W"
"2343","W"
"2344","W"
"2345","W"
"2346","W"
"2347","W"
"2348","W"
"2349","W"
"2350","W"
"2351","W"
"2352","W"
"2353","W"
"2354","W"
"2355","W"
"2356","W"
"2357","D"
"2358","W"
"2359","W"
"2360","W"
"2361","W"
"2362","W"
"2363","L"
"2364","W"
"2365","W"
"2366","W"
"2367","W"
"2368","W"
"2369","D"
"2370","W"
"2371","W"
"2372","W"
"2373","D"
"2374","W"
"2375","W"
"2376","D"
"2377","D"
"2378","W"
"2379","W"
"2380","W"
"2381","W"
"2382","W"
"2383","W"
"2384","W"
"2385","W"
"2386","W"
"2387","D"
"2388","W"
"2389","W"
"2390","W"
"2391","L"
"2392","W"
"2393","W"
"2394","D"
"2395","D"
"2396","W"
"2397","W"
"2398","W"
"2399","W"
"2400","W"
"2401","W"
"2402","W"
"2403","D"
"2404","W"
"2405","W"
"2406","L"
"2407","W"
"2408","W"
"2409","D"
"2410","W"
"2411","D"
"2412","D"
"2413","L"
"2414","W"
"2415","W"
"2416","W"
"2417","D"
"2418","W"
"2419","W"
"2420","D"
"2421","W"
"2422","W"
"2423","W"
"2424","D"
"2425","D"
"2426","W"
"2427","W"
"2428","W"
"2429","W"
"2430","W"
"2431","L"
"2432","D"
"2433","L"
"2434","W"
"2435","D"
"2436","D"
"2437","W"
"2438","W"
"2439","L"
"2440","W"
"2441","W"
"2442","D"
"2443","D"
"2444","W"
"2445","W"
"2446","W"
"2447","L"
"2448","D"
"2449","W"
"2450","L"
"2451","W"
"2452","W"
"2453","W"
"2454","D"
"2455","W"
"2456","W"
"2457","W"
"2458","W"
"2459","W"
"2460","W"
"2461","L"
"2462","W"
"2463","D"
"2464","W"
"2465","D"
"2466","L"
"2467","L"
"2468","L"
"2469","W"
"2470","D"
"2471","W"
"2472","W"
"2473","W"
"2474","D"
"2475","D"
"2476","W"
"2477","W"
"2478","L"
"2479","W"
"2480","D"
"2481","W"
"2482","W"
"2483","W"
"2484","D"
"2485","W"
"2486","L"
"2487","W"
"2488","D"
"2489","L"
"2490","W"
"2491","W"
"2492","L"
"2493","W"
"2494","W"
"2495","D"
"2496","L"
"2497","W"
"2498","W"
"2499","D"
"2500","L"
"2501","W"
"2502","W"
"2503","L"
"2504","W"
"2505","W"
"2506","D"
"2507","D"
"2508","W"
"2509","L"
"2510","D"
"2511","D"
"2512","W"
"2513","W"
"2514","D"
"2515","L"
"2516","L"
"2517","W"
"2518","L"
"2519","W"
"2520","D"
"2521","W"
"2522","W"
"2523","W"
"2524","W"
"2525","W"
"2526","W"
"2527","W"
"2528","L"
"2529","D"
"2530","W"
"2531","W"
"2532","W"
"2533","W"
"2534","L"
"2535","L"
"2536","D"
"2537","W"
"2538","W"
"2539","W"
"2540","W"
"2541","W"
"2542","L"
"2543","W"
"2544","W"
"2545","W"
"2546","W"
"2547","W"
"2548","L"
"2549","L"
"2550","W"
"2551","W"
"2552","W"
"2553","W"
"2554","W"
"2555","L"
"2556","W"
"2557","W"
"2558","W"
"2559","W"
"2560","W"
"2561","D"
"2562","W"
"2563","W"
"2564","L"
"2565","L"
"2566","W"
"2567","D"
"2568","L"
"2569","W"
"2570","W"
"2571","W"
"2572","D"
"2573","D"
"2574","W"
"2575","W"
"2576","D"
"2577","W"
"2578","W"
"2579","W"
"2580","W"
"2581","D"
"2582","L"
"2583","W"
"2584","W"
"2585","D"
"2586","D"
"2587","L"
"2588","D"
"2589","W"
"2590","W"
"2591","L"
"2592","W"
"2593","W"
"2594","W"
"2595","W"
"2596","D"
"2597","D"
"2598","W"
"2599","W"
"2600","W"
"2601","D"
"2602","W"
"2603","D"
"2604","L"
"2605","D"
"2606","W"
"2607","L"
"2608","W"
"2609","W"
"2610","L"
"2611","W"
"2612","L"
"2613","L"
"2614","L"
"2615","W"
"2616","W"
"2617","D"
"2618","W"
"2619","W"
"2620","W"
"2621","W"
"2622","W"
"2623","D"
"2624","W"
"2625","W"
"2626","W"
"2627","D"
"2628","W"
"2629","L"
"2630","L"
"2631","D"
"2632","D"
"2633","D"
"2634","W"
"2635","W"
"2636","W"
"2637","L"
"2638","D"
"2639","W"
"2640","W"
"2641","D"
"2642","W"
"2643","W"
"2644","W"
"2645","W"
"2646","D"
"2647","L"
"2648","W"
"2649","W"
"2650","W"
"2651","W"
"2652","W"
"2653","L"
"2654","W"
"2655","W"
"2656","L"
"2657","L"
"2658","W"
"2659","D"
"2660","W"
"2661","W"
"2662","L"
"2663","W"
"2664","L"
"2665","W"
"2666","W"
"2667","W"
"2668","D"
"2669","D"
"2670","D"
"2671","D"
"2672","W"
"2673","L"
"2674","D"
"2675","W"
"2676","W"
"2677","W"
"2678","W"
"2679","L"
"2680","W"
"2681","W"
"2682","D"
"2683","W"
"2684","W"
"2685","W"
"2686","W"
"2687","W"
"2688","W"
"2689","L"
"2690","D"
"2691","W"
"2692","W"
"2693","W"
"2694","W"
"2695","L"
"2696","W"
"2697","D"
"2698","W"
"2699","W"
"2700","D"
"2701","W"
"2702","L"
"2703","W"
"2704","L"
"2705","D"
"2706","W"
"2707","L"
"2708","W"
"2709","D"
"2710","W"
"2711","W"
"2712","L"
"2713","L"
"2714","D"
"2715","L"
"2716","W"
"2717","L"
"2718","W"
"2719","W"
"2720","W"
"2721","L"
"2722","D"
"2723","W"
"2724","W"
"2725","W"
"2726","W"
"2727","L"
"2728","W"
"2729","L"
"2730","W"
"2731","D"
"2732","L"
"2733","W"
"2734","L"
"2735","W"
"2736","L"
"2737","W"
"2738","W"
"2739","W"
"2740","D"
"2741","L"
"2742","W"
"2743","W"
"2744","W"
"2745","W"
"2746","W"
"2747","W"
"2748","W"
"2749","D"
"2750","L"
"2751","L"
"2752","W"
"2753","D"
"2754","W"
"2755","D"
"2756","D"
"2757","D"
"2758","W"
"2759","W"
"2760","W"
"2761","D"
"2762","W"
"2763","W"
"2764","W"
"2765","W"
"2766","D"
"2767","D"
"2768","L"
"2769","W"
"2770","L"
"2771","W"
"2772","W"
"2773","W"
"2774","L"
"2775","W"
"2776","W"
"2777","W"
"2778","L"
"2779","W"
"2780","W"
"2781","W"
"2782","W"
"2783","D"
"2784","D"
"2785","W"
"2786","W"
"2787","D"
"2788","W"
"2789","L"
"2790","W"
"2791","D"
"2792","L"
"2793","D"
"2794","W"
"2795","W"
"2796","W"
"2797","D"
"2798","L"
"2799","W"
"2800","L"
"2801","W"
"2802","W"
"2803","L"
"2804","L"
"2805","W"
"2806","L"
"2807","W"
"2808","W"
"2809","D"
"2810","D"
"2811","W"
"2812","W"
"2813","W"
"2814","L"
"2815","W"
"2816","L"
"2817","W"
"2818","W"
"2819","W"
"2820","W"
"2821","W"
"2822","W"
"2823","W"
"2824","W"
"2825","W"
"2826","D"
"2827","D"
"2828","W"
"2829","W"
"2830","W"
"2831","D"
"2832","L"
"2833","D"
"2834","D"
"2835","L"
"2836","L"
"2837","D"
"2838","W"
"2839","W"
"2840","D"
"2841","L"
"2842","D"
"2843","W"
"2844","W"
"2845","W"
"2846","L"
"2847","D"
"2848","W"
"2849","W"
"2850","D"
"2851","D"
"2852","D"
"2853","W"
"2854","L"
"2855","W"
"2856","W"
"2857","D"
"2858","W"
"2859","D"
"2860","L"
"2861","W"
"2862","D"
"2863","D"
"2864","D"
"2865","W"
"2866","L"
"2867","W"
"2868","W"
"2869","D"
"2870","W"
"2871","W"
"2872","W"
"2873","D"
"2874","W"
"2875","W"
"2876","D"
"2877","L"
"2878","L"
"2879","D"
"2880","W"
"2881","L"
"2882","W"
"2883","L"
"2884","W"
"2885","D"
"2886","W"
"2887","W"
"2888","W"
"2889","D"
"2890","L"
"2891","W"
"2892","W"
"2893","D"
"2894","W"
"2895","W"
"2896","W"
"2897","W"
"2898","D"
"2899","D"
"2900","W"
"2901","D"
"2902","W"
"2903","D"
"2904","L"
"2905","L"
"2906","W"
"2907","W"
"2908","W"
"2909","L"
"2910","L"
"2911","W"
"2912","W"
"2913","D"
"2914","D"
"2915","D"
"2916","W"
"2917","D"
"2918","W"
"2919","D"
"2920","D"
"2921","W"
"2922","W"
"2923","L"
"2924","D"
"2925","W"
"2926","W"
"2927","D"
"2928","W"
"2929","L"
"2930","W"
"2931","W"
"2932","W"
"2933","L"
"2934","W"
"2935","D"
"2936","D"
"2937","W"
"2938","W"
"2939","W"
"2940","L"
"2941","D"
"2942","W"
"2943","L"
"2944","L"
"2945","W"
"2946","W"
"2947","W"
"2948","D"
"2949","L"
"2950","D"
"2951","W"
"2952","W"
"2953","W"
"2954","L"
"2955","W"
"2956","D"
"2957","L"
"2958","D"
"2959","L"
"2960","W"
"2961","W"
"2962","W"
"2963","L"
"2964","W"
"2965","D"
"2966","L"
"2967","W"
"2968","W"
"2969","D"
"2970","L"
"2971","D"
"2972","W"
"2973","W"
"2974","W"
"2975","L"
"2976","W"
"2977","W"
"2978","D"
"2979","W"
"2980","W"
"2981","D"
"2982","L"
"2983","W"
"2984","W"
"2985","W"
"2986","D"
"2987","W"
"2988","W"
"2989","W"
"2990","D"
"2991","L"
"2992","D"
"2993","D"
"2994","L"
"2995","L"
"2996","L"
"2997","W"
"2998","W"
"2999","L"
"3000","L"
"3001","L"
"3002","L"
"3003","W"
"3004","W"
"3005","D"
"3006","W"
"3007","W"
"3008","W"
"3009","D"
"3010","W"
"3011","L"
"3012","D"
"3013","D"
"3014","D"
"3015","W"
"3016","W"
"3017","W"
"3018","L"
"3019","W"
"3020","W"
"3021","W"
"3022","D"
"3023","D"
"3024","D"
"3025","W"
"3026","W"
"3027","W"
"3028","D"
"3029","L"
"3030","L"
"3031","L"
"3032","W"
"3033","L"
"3034","W"
"3035","W"
"3036","W"
"3037","L"
"3038","L"
"3039","W"
"3040","D"
"3041","L"
"3042","L"
"3043","L"
"3044","L"
"3045","W"
"3046","L"
"3047","W"
"3048","D"
"3049","W"
"3050","L"
"3051","D"
"3052","W"
"3053","W"
"3054","W"
"3055","W"
"3056","W"
"3057","W"
"3058","W"
"3059","W"
"3060","W"
"3061","L"
"3062","D"
"3063","W"
"3064","L"
"3065","D"
"3066","W"
"3067","D"
"3068","L"
"3069","W"
"3070","L"
"3071","W"
"3072","W"
"3073","L"
"3074","W"
"3075","L"
"3076","L"
"3077","W"
"3078","W"
"3079","L"
"3080","W"
"3081","W"
"3082","D"
"3083","D"
"3084","L"
"3085","L"
"3086","D"
"3087","L"
"3088","D"
"3089","L"
"3090","D"
"3091","L"
"3092","W"
"3093","L"
"3094","W"
"3095","W"
"3096","D"
"3097","W"
"3098","L"
"3099","D"
"3100","L"
"3101","L"
"3102","W"
"3103","L"
"3104","W"
"3105","W"
"3106","W"
"3107","L"
"3108","W"
"3109","W"
"3110","W"
"3111","W"
"3112","W"
"3113","W"
"3114","W"
"3115","W"
"3116","W"
"3117","W"
"3118","W"
"3119","W"
"3120","W"
"3121","W"
"3122","W"
"3123","W"
"3124","W"
"3125","L"
"3126","L"
"3127","D"
"3128","W"
"3129","W"
"3130","L"
"3131","L"
"3132","L"
"3133","D"
"3134","W"
"3135","L"
"3136","W"
"3137","W"
"3138","W"
"3139","W"
"3140","L"
"3141","W"
"3142","L"
"3143","W"
"3144","D"
"3145","L"
"3146","W"
"3147","W"
"3148","L"
"3149","D"
"3150","L"
"3151","D"
"3152","W"
"3153","D"
"3154","L"
"3155","W"
"3156","W"
"3157","L"
"3158","W"
"3159","L"
"3160","W"
"3161","W"
"3162","L"
"3163","W"
"3164","W"
"3165","D"
"3166","W"
"3167","D"
"3168","D"
"3169","D"
"3170","W"
"3171","W"
"3172","D"
"3173","L"
"3174","D"
"3175","L"
"3176","D"
"3177","D"
"3178","W"
"3179","W"
"3180","L"
"3181","W"
"3182","L"
"3183","L"
"3184","W"
"3185","L"
"3186","W"
"3187","L"
"3188","W"
"3189","W"
"3190","L"
"3191","W"
"3192","W"
"3193","D"
"3194","D"
"3195","L"
"3196","W"
"3197","L"
"3198","W"
"3199","W"
"3200","L"
"3201","W"
"3202","W"
"3203","D"
"3204","D"
"3205","W"
"3206","D"
"3207","L"
"3208","W"
"3209","W"
"3210","L"
"3211","W"
"3212","D"
"3213","W"
"3214","D"
"3215","W"
"3216","W"
"3217","W"
"3218","L"
"3219","L"
"3220","D"
"3221","D"
"3222","D"
"3223","L"
"3224","W"
"3225","D"
"3226","D"
"3227","D"
"3228","W"
"3229","D"
"3230","W"
"3231","D"
"3232","L"
"3233","W"
"3234","D"
"3235","D"
"3236","W"
"3237","L"
"3238","W"
"3239","L"
"3240","L"
"3241","D"
"3242","W"
"3243","D"
"3244","L"
"3245","L"
"3246","D"
"3247","W"
"3248","W"
"3249","W"
"3250","W"
"3251","D"
"3252","W"
"3253","W"
"3254","L"
"3255","W"
"3256","W"
"3257","L"
"3258","W"
"3259","D"
"3260","D"
"3261","W"
"3262","L"
"3263","W"
"3264","W"
"3265","D"
"3266","W"
"3267","D"
"3268","L"
"3269","W"
"3270","L"
"3271","W"
"3272","L"
"3273","W"
"3274","D"
"3275","L"
"3276","D"
"3277","L"
"3278","W"
"3279","D"
"3280","D"
"3281","L"
"3282","D"
"3283","W"
"3284","D"
"3285","W"
"3286","W"
"3287","W"
"3288","D"
"3289","D"
"3290","L"
"3291","L"
"3292","L"
"3293","L"
"3294","W"
"3295","W"
"3296","W"
"3297","W"
"3298","L"
"3299","W"
"3300","L"
"3301","L"
"3302","L"
"3303","W"
"3304","W"
"3305","L"
"3306","L"
"3307","W"
"3308","W"
"3309","L"
"3310","W"
"3311","W"
"3312","D"
"3313","L"
"3314","L"
"3315","D"
"3316","W"
"3317","L"
"3318","W"
"3319","D"
"3320","D"
"3321","D"
"3322","D"
"3323","W"
"3324","D"
"3325","L"
"3326","L"
"3327","D"
"3328","D"
"3329","L"
"3330","D"
"3331","D"
"3332","W"
"3333","L"
"3334","W"
"3335","W"
"3336","L"
"3337","L"
"3338","W"
"3339","L"
"3340","D"
"3341","D"
"3342","D"
"3343","W"
"3344","D"
"3345","W"
"3346","W"
"3347","D"
"3348","W"
"3349","L"
"3350","L"
"3351","W"
"3352","L"
"3353","D"
"3354","W"
"3355","W"
"3356","D"
"3357","L"
"3358","D"
"3359","D"
"3360","L"
"3361","W"
"3362","L"
"3363","W"
"3364","L"
"3365","L"
"3366","L"
"3367","L"
"3368","W"
"3369","D"
"3370","D"
"3371","D"
"3372","L"
"3373","W"
"3374","W"
"3375","L"
"3376","D"
"3377","L"
"3378","W"
"3379","W"
"3380","L"
"3381","W"
"3382","D"
"3383","L"
"3384","W"
"3385","D"
"3386","L"
"3387","D"
"3388","W"
"3389","W"
"3390","D"
"3391","L"
"3392","D"
"3393","L"
"3394","L"
"3395","W"
"3396","W"
"3397","D"
"3398","L"
"3399","W"
"3400","D"
"3401","W"
"3402","W"
"3403","D"
"3404","D"
"3405","L"
"3406","W"
"3407","L"
"3408","L"
"3409","W"
"3410","D"
"3411","L"
"3412","W"
"3413","D"
"3414","L"
"3415","W"
"3416","W"
"3417","W"
"3418","D"
"3419","L"
"3420","L"
"3421","D"
"3422","W"
"3423","W"
"3424","L"
"3425","W"
"3426","L"
"3427","L"
"3428","W"
"3429","L"
"3430","D"
"3431","L"
"3432","W"
"3433","W"
"3434","W"
"3435","W"
"3436","W"
"3437","D"
"3438","D"
"3439","L"
"3440","L"
"3441","D"
"3442","L"
"3443","D"
"3444","W"
"3445","L"
"3446","W"
"3447","D"
"3448","L"
"3449","W"
"3450","W"
"3451","W"
"3452","W"
"3453","D"
"3454","D"
"3455","L"
"3456","W"
"3457","W"
"3458","W"
"3459","D"
"3460","W"
"3461","W"
"3462","L"
"3463","D"
"3464","W"
"3465","D"
"3466","W"
"3467","L"
"3468","W"
"3469","D"
"3470","W"
"3471","W"
"3472","D"
"3473","L"
"3474","D"
"3475","L"
"3476","L"
"3477","W"
"3478","W"
"3479","D"
"3480","L"
"3481","D"
"3482","L"
"3483","W"
"3484","L"
"3485","L"
"3486","L"
"3487","D"
"3488","W"
"3489","D"
"3490","W"
"3491","L"
"3492","L"
"3493","W"
"3494","L"
"3495","L"
"3496","L"
"3497","D"
"3498","L"
"3499","W"
"3500","W"
"3501","L"
"3502","W"
"3503","W"
"3504","L"
"3505","D"
"3506","D"
"3507","L"
"3508","L"
"3509","D"
"3510","D"
"3511","W"
"3512","W"
"3513","D"
"3514","W"
"3515","W"
"3516","L"
"3517","W"
"3518","W"
"3519","D"
"3520","W"
"3521","L"
"3522","L"
"3523","L"
"3524","L"
"3525","W"
"3526","D"
"3527","D"
"3528","W"
"3529","W"
"3530","W"
"3531","W"
"3532","W"
"3533","L"
"3534","L"
"3535","D"
"3536","D"
"3537","W"
"3538","L"
"3539","L"
"3540","W"
"3541","L"
"3542","W"
"3543","W"
"3544","L"
"3545","L"
"3546","W"
"3547","W"
"3548","D"
"3549","W"
"3550","D"
"3551","L"
"3552","L"
"3553","D"
"3554","W"
"3555","D"
"3556","L"
"3557","D"
"3558","L"
"3559","W"
"3560","L"
"3561","W"
"3562","D"
"3563","L"
"3564","W"
"3565","W"
"3566","W"
"3567","D"
"3568","D"
"3569","W"
"3570","W"
"3571","D"
"3572","L"
"3573","W"
"3574","W"
"3575","W"
"3576","W"
"3577","D"
"3578","D"
"3579","L"
"3580","W"
"3581","W"
"3582","D"
"3583","L"
"3584","L"
"3585","W"
"3586","D"
"3587","L"
"3588","D"
"3589","D"
"3590","L"
"3591","W"
"3592","L"
"3593","L"
"3594","W"
"3595","W"
"3596","D"
"3597","W"
"3598","W"
"3599","W"
"3600","L"
"3601","W"
"3602","L"
"3603","L"
"3604","D"
"3605","D"
"3606","D"
"3607","L"
"3608","L"
"3609","W"
"3610","W"
"3611","D"
"3612","W"
"3613","D"
"3614","D"
"3615","W"
"3616","L"
"3617","L"
"3618","L"
"3619","L"
"3620","W"
"3621","D"
"3622","D"
"3623","L"
"3624","L"
"3625","D"
"3626","W"
"3627","D"
"3628","D"
"3629","W"
"3630","L"
"3631","W"
"3632","W"
"3633","L"
"3634","W"
"3635","L"
"3636","W"
"3637","W"
"3638","D"
"3639","D"
"3640","D"
"3641","W"
"3642","L"
"3643","W"
"3644","L"
"3645","D"
"3646","D"
"3647","W"
"3648","W"
"3649","L"
"3650","D"
"3651","W"
"3652","D"
"3653","L"
"3654","D"
"3655","L"
"3656","D"
"3657","L"
"3658","W"
"3659","L"
"3660","D"
"3661","W"
"3662","L"
"3663","W"
"3664","W"
"3665","W"
"3666","D"
"3667","W"
"3668","L"
"3669","L"
"3670","W"
"3671","L"
"3672","W"
"3673","L"
"3674","W"
"3675","D"
"3676","W"
"3677","D"
"3678","W"
"3679","D"
"3680","L"
"3681","D"
"3682","W"
"3683","W"
"3684","W"
"3685","W"
"3686","D"
"3687","D"
"3688","L"
"3689","W"
"3690","D"
"3691","D"
"3692","W"
"3693","D"
"3694","D"
"3695","L"
"3696","D"
"3697","W"
"3698","W"
"3699","L"
"3700","L"
"3701","W"
"3702","L"
"3703","W"
"3704","W"
"3705","L"
"3706","L"
"3707","L"
"3708","L"
"3709","W"
"3710","D"
"3711","L"
"3712","W"
"3713","L"
"3714","W"
"3715","D"
"3716","L"
"3717","W"
"3718","W"
"3719","D"
"3720","D"
"3721","D"
"3722","D"
"3723","W"
"3724","W"
"3725","L"
"3726","L"
"3727","L"
"3728","D"
"3729","W"
"3730","L"
"3731","W"
"3732","L"
"3733","D"
"3734","W"
"3735","D"
"3736","W"
"3737","W"
"3738","D"
"3739","L"
"3740","D"
"3741","L"
"3742","W"
"3743","L"
"3744","W"
"3745","W"
"3746","L"
"3747","D"
"3748","W"
"3749","W"
"3750","W"
"3751","L"
"3752","D"
"3753","D"
"3754","W"
"3755","W"
"3756","L"
"3757","D"
"3758","W"
"3759","W"
"3760","L"
"3761","W"
"3762","W"
"3763","L"
"3764","W"
"3765","L"
"3766","L"
"3767","L"
"3768","W"
"3769","D"
"3770","D"
"3771","L"
"3772","L"
"3773","W"
"3774","L"
"3775","L"
"3776","L"
"3777","D"
"3778","W"
"3779","L"
"3780","L"
"3781","D"
"3782","W"
"3783","L"
"3784","D"
"3785","L"
"3786","D"
"3787","D"
"3788","D"
"3789","L"
"3790","W"
"3791","D"
"3792","L"
"3793","L"
"3794","W"
"3795","L"
"3796","L"
"3797","L"
"3798","W"
"3799","L"
"3800","L"
"3801","D"
"3802","D"
"3803","D"
"3804","D"
"3805","W"
"3806","D"
"3807","L"
"3808","W"
"3809","W"
"3810","W"
"3811","D"
"3812","D"
"3813","L"
"3814","W"
"3815","L"
"3816","L"
"3817","W"
"3818","D"
"3819","D"
"3820","L"
"3821","L"
"3822","L"
"3823","L"
"3824","D"
"3825","D"
"3826","W"
"3827","L"
"3828","L"
"3829","L"
"3830","W"
"3831","W"
"3832","L"
"3833","W"
"3834","W"
"3835","L"
"3836","D"
"3837","L"
"3838","W"
"3839","W"
"3840","D"
"3841","L"
"3842","L"
"3843","W"
"3844","L"
"3845","L"
"3846","L"
"3847","L"
"3848","W"
"3849","D"
"3850","W"
"3851","W"
"3852","L"
"3853","L"
"3854","D"
"3855","W"
"3856","D"
"3857","L"
"3858","L"
"3859","D"
"3860","W"
"3861","D"
"3862","L"
"3863","W"
"3864","L"
"3865","L"
"3866","L"
"3867","W"
"3868","W"
"3869","L"
"3870","L"
"3871","L"
"3872","D"
"3873","L"
"3874","L"
"3875","W"
"3876","L"
"3877","L"
"3878","L"
"3879","W"
"3880","D"
"3881","W"
"3882","L"
"3883","L"
"3884","D"
"3885","W"
"3886","D"
"3887","D"
"3888","D"
"3889","L"
"3890","L"
"3891","W"
"3892","L"
"3893","D"
"3894","L"
"3895","W"
"3896","D"
"3897","D"
"3898","W"
"3899","D"
"3900","D"
"3901","W"
"3902","L"
"3903","L"
"3904","D"
"3905","D"
"3906","D"
"3907","L"
"3908","D"
"3909","W"
"3910","L"
"3911","L"
"3912","L"
"3913","L"
"3914","L"
"3915","L"
"3916","D"
"3917","D"
"3918","L"
"3919","D"
"3920","D"
"3921","W"
"3922","D"
"3923","L"
"3924","W"
"3925","W"
"3926","W"
"3927","D"
"3928","W"
"3929","W"
"3930","L"
"3931","D"
"3932","W"
"3933","D"
"3934","L"
"3935","D"
"3936","L"
"3937","L"
"3938","W"
"3939","W"
"3940","L"
"3941","D"
"3942","D"
"3943","D"
"3944","W"
"3945","L"
"3946","W"
"3947","W"
"3948","D"
"3949","W"
"3950","D"
"3951","D"
"3952","D"
"3953","L"
"3954","W"
"3955","D"
"3956","W"
"3957","L"
"3958","D"
"3959","W"
"3960","L"
"3961","L"
"3962","D"
"3963","D"
"3964","L"
"3965","W"
"3966","W"
"3967","W"
"3968","L"
"3969","W"
"3970","L"
"3971","W"
"3972","W"
"3973","W"
"3974","D"
"3975","W"
"3976","D"
"3977","L"
"3978","L"
"3979","L"
"3980","W"
"3981","L"
"3982","L"
"3983","D"
"3984","D"
"3985","W"
"3986","L"
"3987","W"
"3988","L"
"3989","W"
"3990","L"
"3991","L"
"3992","D"
"3993","W"
"3994","L"
"3995","L"
"3996","D"
"3997","W"
"3998","L"
"3999","W"
"4000","L"
"4001","L"
"4002","W"
"4003","D"
"4004","L"
"4005","W"
"4006","D"
"4007","D"
"4008","L"
"4009","D"
"4010","W"
"4011","W"
"4012","W"
"4013","W"
"4014","D"
"4015","W"
"4016","L"
"4017","L"
"4018","L"
"4019","D"
"4020","D"
"4021","D"
"4022","L"
"4023","D"
"4024","W"
"4025","L"
"4026","W"
"4027","L"
"4028","W"
"4029","L"
"4030","W"
"4031","W"
"4032","W"
"4033","D"
"4034","L"
"4035","L"
"4036","D"
"4037","L"
"4038","W"
"4039","L"
"4040","L"
"4041","W"
"4042","L"
"4043","W"
"4044","L"
"4045","L"
"4046","D"
"4047","L"
"4048","L"
"4049","D"
"4050","W"
"4051","W"
"4052","W"
"4053","L"
"4054","L"
"4055","L"
"4056","D"
"4057","W"
"4058","D"
"4059","W"
"4060","W"
"4061","L"
"4062","W"
"4063","L"
"4064","D"
"4065","L"
"4066","W"
"4067","L"
"4068","W"
"4069","D"
"4070","W"
"4071","L"
"4072","L"
"4073","L"
"4074","L"
"4075","L"
"4076","D"
"4077","D"
"4078","W"
"4079","L"
"4080","W"
"4081","L"
"4082","W"
"4083","L"
"4084","W"
"4085","L"
"4086","L"
"4087","W"
"4088","D"
"4089","D"
"4090","D"
"4091","W"
"4092","W"
"4093","L"
"4094","D"
"4095","L"
"4096","L"
"4097","D"
"4098","W"
"4099","L"
"4100","W"
"4101","D"
"4102","L"
"4103","W"
"4104","D"
"4105","D"
"4106","L"
"4107","L"
"4108","L"
"4109","W"
"4110","L"
"4111","W"
"4112","W"
"4113","W"
"4114","W"
"4115","L"
"4116","L"
"4117","D"
"4118","W"
"4119","L"
"4120","D"
"4121","L"
"4122","W"
"4123","D"
"4124","L"
"4125","W"
"4126","W"
"4127","D"
"4128","L"
"4129","D"
"4130","W"
"4131","L"
"4132","W"
"4133","W"
"4134","L"
"4135","D"
"4136","L"
"4137","W"
"4138","L"
